"","valco_position","mean_d18O","sd_d18O","mean_dD","sd_dD","Time.averaged","Type"
"1",16,-24.9544564433485,0.200517947080496,-185.930725671152,0.623138321322827,NA,NA
"2",15,-24.9965340790697,0.203592327455721,-186.360933725092,0.630940244910323,NA,NA
"3",14,-24.6660386277578,0.214882352879081,-186.236786475427,0.634112510771676,NA,NA
"4",2,-24.6822241473001,0.201968046412597,-186.162833418691,0.603773608898792,NA,NA
"5",1,-24.8641831560538,0.234613880821052,-186.269476488972,0.605403971004609,NA,NA
"6",16,-24.9513998837793,0.23525657655304,-185.521394821137,0.663203494164732,5,"result"
"7",15,-25.2114498109666,0.213687662147094,-185.591066265318,0.64576311345037,5,"result"
"8",14,-24.9716631170769,0.232651368667138,-185.115522489064,0.705729653115482,5,"result"
"9",2,-25.0350572263746,0.217802889570124,-185.969574709666,0.717627124078803,5,"result"
"10",1,-23.1663742005124,0.469878809001183,-186.046346188686,1.75363003910374,8.76,"Correction"
